broad_sector,avg_health_score,avg_roe,avg_debt_to_equity,avg_market_cap,company_count
Materials,48.32666666666667,16.07,0.3705333333333334,,9
Industrials,47.912222222222226,969.3411111111111,0.6460888888888889,,9
Consumer Staples,47.285714285714285,34.471428571428575,0.1815857142857143,,7
Information Technology,47.226,27.125999999999998,0.09330000000000001,,5
Consumer Discretionary,47.16285714285714,86.72428571428573,0.6986071428571429,,14
Healthcare,47.065,16.633333333333333,0.24981666666666666,,6
Energy,46.964615384615385,17.87769230769231,1.5384615384615385,,13
Communication Services,46.935,6.165,1.3088000000000002,,2
Real Estate,46.59,7.904999999999999,0.28165,,2
Financials,46.16409090909091,19.00681818181818,4.821045454545454,,22
