file_name,table_name,rows_in,rows_out,rows_removed,fk_rejected_rows,columns,column_names,status,timestamp
companies.xlsx,companies,92,92,0,0,12,"id, company_logo, company_name, chart_link, about_company, website, nse_profile, bse_profile, face_value, book_value, roce_percentage, roe_percentage",loaded_to_database,2026-06-21 20:14:15
profitandloss.xlsx,profitandloss,1276,1164,112,99,15,"id, company_id, year, sales, expenses, operating_profit, opm_percentage, other_income, interest, depreciation, profit_before_tax, tax_percentage, net_profit, eps, dividend_payout",loaded_to_database,2026-06-21 20:14:15
balancesheet.xlsx,balancesheet,1312,1140,172,85,13,"id, company_id, year, equity_capital, reserves, borrowings, other_liabilities, total_liabilities, fixed_assets, cwip, investments, other_asset, total_assets",loaded_to_database,2026-06-21 20:14:17
cashflow.xlsx,cashflow,1187,1056,131,96,7,"id, company_id, year, operating_activity, investing_activity, financing_activity, net_cash_flow",loaded_to_database,2026-06-21 20:14:18
analysis.xlsx,analysis,20,16,4,4,6,"id, company_id, compounded_sales_growth, compounded_profit_growth, stock_price_cagr, roe",loaded_to_database,2026-06-21 20:14:18
documents.xlsx,documents,1585,1457,128,128,4,"id, company_id, year, annual_report",loaded_to_database,2026-06-21 20:14:19
prosandcons.xlsx,prosandcons,16,14,2,2,4,"id, company_id, pros, cons",loaded_to_database,2026-06-21 20:14:19
sectors.xlsx,sectors,92,92,0,0,6,"id, company_id, broad_sector, sub_sector, index_weight_pct, market_cap_category",loaded_to_database,2026-06-21 20:14:19
financial_ratios.xlsx,financial_ratios,1184,1041,143,24,16,"id, company_id, year, net_profit_margin_pct, operating_profit_margin_pct, return_on_equity_pct, debt_to_equity, interest_coverage, asset_turnover, free_cash_flow_cr, capex_cr, earnings_per_share, book_value_per_share, dividend_payout_ratio_pct, total_debt_cr, cash_from_operations_cr",loaded_to_database,2026-06-21 20:14:19
market_cap.xlsx,market_cap,552,552,0,0,9,"id, company_id, year, market_cap_crore, enterprise_value_crore, pe_ratio, pb_ratio, ev_ebitda, dividend_yield_pct",loaded_to_database,2026-06-21 20:14:20
peer_groups.xlsx,peer_groups,56,56,0,0,4,"id, peer_group_name, company_id, is_benchmark",loaded_to_database,2026-06-21 20:14:20
stock_prices.xlsx,stock_prices,5520,5520,0,0,9,"id, company_id, date, open_price, high_price, low_price, close_price, volume, adjusted_close",loaded_to_database,2026-06-21 20:14:20
